aia_name,aia_code,aia_rulesetversion,aia_title,aia_legalreference,aia_appliesto,aia_effectivefrom,aia_applicabilityjson,aia_active
OBL_AI_LITERACY,OBL_AI_LITERACY,EU_AI_ACT_2026_07_27_V0_1,Adoptar medidas para asegurar un nivel suficiente de alfabetizacion en IA,Articulo 4,PROVIDER;DEPLOYER,2025-02-02,"{""when"":{""all"":[{""path"":""result.scope"",""op"":""equals"",""value"":""IN_SCOPE""},{""path"":""metadata.role"",""op"":""in"",""value"":[""PROVIDER"",""DEPLOYER""]}]}}",true
OBL_PROVIDER_HIGH_RISK_REQUIREMENTS,OBL_PROVIDER_HIGH_RISK_REQUIREMENTS,EU_AI_ACT_2026_07_27_V0_1,"Cumplir gestion de riesgos, datos, documentacion, registros, transparencia, supervision humana, robustez y ciberseguridad",Articulos 8 a 15,PROVIDER,,"{""effective_from_result"":true,""when"":{""all"":[{""path"":""result.classification.status"",""op"":""equals"",""value"":""HIGH_RISK""},{""path"":""metadata.role"",""op"":""equals"",""value"":""PROVIDER""}]}}",true
OBL_PROVIDER_HIGH_RISK_GOVERNANCE,OBL_PROVIDER_HIGH_RISK_GOVERNANCE,EU_AI_ACT_2026_07_27_V0_1,"Sistema de calidad, conservacion documental, logs, conformidad, registro y medidas correctoras",Articulos 16 a 22 y 43 a 49,PROVIDER,,"{""effective_from_result"":true,""when"":{""all"":[{""path"":""result.classification.status"",""op"":""equals"",""value"":""HIGH_RISK""},{""path"":""metadata.role"",""op"":""equals"",""value"":""PROVIDER""}]}}",true
OBL_DEPLOYER_HIGH_RISK,OBL_DEPLOYER_HIGH_RISK,EU_AI_ACT_2026_07_27_V0_1,"Usar conforme a instrucciones, asignar supervision humana, controlar entradas y funcionamiento y conservar logs",Articulo 26,DEPLOYER,,"{""effective_from_result"":true,""when"":{""all"":[{""path"":""result.classification.status"",""op"":""equals"",""value"":""HIGH_RISK""},{""path"":""metadata.role"",""op"":""equals"",""value"":""DEPLOYER""}]}}",true
OBL_DEPLOYER_NOTIFY_PERSONS,OBL_DEPLOYER_NOTIFY_PERSONS,EU_AI_ACT_2026_07_27_V0_1,Informar a las personas de que estan sujetas al uso de un sistema de IA de alto riesgo,Articulo 26.11,DEPLOYER,,"{""effective_from_result"":true,""when"":{""all"":[{""path"":""result.classification.basis"",""op"":""equals"",""value"":""ARTICLE_6_2_ANNEX_III""},{""path"":""metadata.role"",""op"":""equals"",""value"":""DEPLOYER""},{""any"":[{""path"":""answers.Q010"",""op"":""equals"",""value"":true},{""path"":""answers.Q011"",""op"":""equals"",""value"":true}]}]}}",true
OBL_FRIA,OBL_FRIA,EU_AI_ACT_2026_07_27_V0_1,Realizar una evaluacion de impacto sobre los derechos fundamentales antes del despliegue,Articulo 27,DEPLOYER,,"{""effective_from_result"":true,""when"":{""all"":[{""path"":""result.classification.basis"",""op"":""equals"",""value"":""ARTICLE_6_2_ANNEX_III""},{""path"":""metadata.role"",""op"":""equals"",""value"":""DEPLOYER""},{""any"":[{""all"":[{""path"":""metadata.organisation_type"",""op"":""in"",""value"":[""PUBLIC_BODY"",""PUBLIC_SERVICE""]},{""path"":""answers.Q008"",""op"":""not_equals"",""value"":""CRITICAL_INFRASTRUCTURE""}]},{""path"":""answers.Q009"",""op"":""in"",""value"":[""ESS_CREDIT"",""ESS_INSURANCE""]}]}]}}",true
OBL_PUBLIC_REGISTER,OBL_PUBLIC_REGISTER,EU_AI_ACT_2026_07_27_V0_1,Registrar el uso del sistema en la base de datos correspondiente antes de utilizarlo,Articulo 49.3 a 49.5,DEPLOYER,,"{""effective_from_result"":true,""when"":{""all"":[{""path"":""result.classification.basis"",""op"":""equals"",""value"":""ARTICLE_6_2_ANNEX_III""},{""path"":""metadata.role"",""op"":""equals"",""value"":""DEPLOYER""},{""path"":""metadata.organisation_type"",""op"":""equals"",""value"":""PUBLIC_BODY""}]}}",true
OBL_ART_6_3_DOCUMENTATION,OBL_ART_6_3_DOCUMENTATION,EU_AI_ACT_2026_07_27_V0_1,Documentar la evaluacion que justifica que el sistema del Anexo III no es de alto riesgo y registrarlo,Articulos 6.4 y 49.2,PROVIDER,2027-12-02,"{""when"":{""all"":[{""path"":""result.classification.basis"",""op"":""equals"",""value"":""ARTICLE_6_3_EXCEPTION""},{""path"":""metadata.role"",""op"":""equals"",""value"":""PROVIDER""}]}}",true
OBL_ART_50_1,OBL_ART_50_1,EU_AI_ACT_2026_07_27_V0_1,Informar de la interaccion con IA,Articulo 50.1,PROVIDER,2026-08-02,"{""when"":{""path"":""result.transparency_codes"",""op"":""contains"",""value"":""ART_50_1""}}",true
OBL_ART_50_2,OBL_ART_50_2,EU_AI_ACT_2026_07_27_V0_1,Marcar contenido sintetico en formato legible por maquinas y detectable,Articulo 50.2,PROVIDER,,"{""effective_from_finding"":""ART_50_2"",""when"":{""path"":""result.transparency_codes"",""op"":""contains"",""value"":""ART_50_2""}}",true
OBL_ART_50_3,OBL_ART_50_3,EU_AI_ACT_2026_07_27_V0_1,Informar a las personas expuestas al reconocimiento emocional o categorizacion biometrica,Articulo 50.3,DEPLOYER,2026-08-02,"{""when"":{""path"":""result.transparency_codes"",""op"":""contains"",""value"":""ART_50_3""}}",true
OBL_ART_50_4,OBL_ART_50_4,EU_AI_ACT_2026_07_27_V0_1,Revelar el contenido deepfake o el texto de interes publico generado o manipulado mediante IA,Articulo 50.4,DEPLOYER,2026-08-02,"{""when"":{""path"":""result.transparency_codes"",""op"":""contains_any"",""value"":[""ART_50_4_DEEPFAKE"",""ART_50_4_TEXT""]}}",true
