aia_name,aia_code,aia_rulesetversion,aia_priority,aia_conditionjson,aia_effectsjson,aia_legalreference,aia_effectivefrom,aia_effectiveuntil,aia_active
SCOPE_001_NO_EU_NEXUS,SCOPE_001_NO_EU_NEXUS,EU_AI_ACT_2026_07_27_V0_1,1000,"{""path"":""answers.Q001"",""op"":""equals"",""value"":false}","[{""type"":""set_scope"",""value"":""OUT_OF_SCOPE"",""basis"":""Articulo 2""}]",Articulo 2,,,true
SCOPE_002_NOT_AI,SCOPE_002_NOT_AI,EU_AI_ACT_2026_07_27_V0_1,990,"{""path"":""answers.Q002"",""op"":""equals"",""value"":false}","[{""type"":""set_scope"",""value"":""NOT_AI_SYSTEM"",""basis"":""Articulo 3.1""}]",Articulo 3.1,,,true
SCOPE_003_EXCLUSION,SCOPE_003_EXCLUSION,EU_AI_ACT_2026_07_27_V0_1,980,"{""path"":""answers.Q003"",""op"":""in"",""value"":[""MILITARY_NATIONAL_SECURITY"",""SCIENTIFIC_RESEARCH_ONLY"",""PRE_MARKET_RND"",""PERSONAL_NON_PROFESSIONAL""]}","[{""type"":""set_scope"",""value"":""EXCLUDED"",""basis"":""Articulo 2""}]",Articulo 2,,,true
SCOPE_004_OPEN_SOURCE_EXCLUSION,SCOPE_004_OPEN_SOURCE_EXCLUSION,EU_AI_ACT_2026_07_27_V0_1,970,"{""all"":[{""path"":""answers.Q003"",""op"":""equals"",""value"":""OPEN_SOURCE""},{""path"":""answers.Q004"",""op"":""contains"",""value"":""NONE""},{""path"":""answers.Q006"",""op"":""equals"",""value"":false},{""path"":""answers.Q008"",""op"":""equals"",""value"":""NONE""},{""path"":""answers.Q013"",""op"":""equals"",""value"":""NONE""},{""path"":""answers.Q014"",""op"":""contains"",""value"":""NONE""},{""path"":""answers.Q015"",""op"":""contains"",""value"":""NONE""}]}","[{""type"":""set_scope"",""value"":""EXCLUDED_OPEN_SOURCE"",""basis"":""Articulo 2.12""}]",Articulo 2.12,,,true
PROHIBITED_5_1_A,PROHIBITED_5_1_A,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P01_MANIPULATION""}","[{""type"":""add_prohibited"",""code"":""P01_MANIPULATION"",""title"":""Manipulacion perjudicial"",""legal_reference"":""Articulo 5.1(a)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(a),2025-02-02,,true
PROHIBITED_5_1_B,PROHIBITED_5_1_B,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P02_VULNERABILITY""}","[{""type"":""add_prohibited"",""code"":""P02_VULNERABILITY"",""title"":""Explotacion perjudicial de vulnerabilidades"",""legal_reference"":""Articulo 5.1(b)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(b),2025-02-02,,true
PROHIBITED_5_1_BA,PROHIBITED_5_1_BA,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P09_INTIMATE_CONTENT""}","[{""type"":""add_prohibited"",""code"":""P09_INTIMATE_CONTENT"",""title"":""Contenido intimo o sexual sin consentimiento"",""legal_reference"":""Articulo 5.1(ba)"",""effective_from"":""2026-12-02""}]",Articulo 5.1(ba),2026-12-02,,true
PROHIBITED_5_1_BB,PROHIBITED_5_1_BB,EU_AI_ACT_2026_07_27_V0_1,900,"{""all"":[{""path"":""answers.Q004"",""op"":""contains"",""value"":""P10_CHILD_SEXUAL_CONTENT""},{""path"":""answers.Q005"",""op"":""not_contains"",""value"":""EX_P10_NATIONAL_LAW""}]}","[{""type"":""add_prohibited"",""code"":""P10_CHILD_SEXUAL_CONTENT"",""title"":""Material sexual relativo a menores"",""legal_reference"":""Articulo 5.1(bb)"",""effective_from"":""2026-12-02""}]",Articulo 5.1(bb),2026-12-02,,true
PROHIBITED_5_1_C,PROHIBITED_5_1_C,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P03_SOCIAL_SCORING""}","[{""type"":""add_prohibited"",""code"":""P03_SOCIAL_SCORING"",""title"":""Puntuacion social perjudicial"",""legal_reference"":""Articulo 5.1(c)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(c),2025-02-02,,true
PROHIBITED_5_1_D,PROHIBITED_5_1_D,EU_AI_ACT_2026_07_27_V0_1,900,"{""path"":""answers.Q004"",""op"":""contains"",""value"":""P04_CRIME_PREDICTION""}","[{""type"":""add_prohibited"",""code"":""P04_CRIME_PREDICTION"",""title"":""Prediccion individual de delito basada solo en perfil o rasgos"",""legal_reference"":""Articulo 5.1(d)"",""effective_from"":""2025-02-02""}]",Articulo 5.1(d),2025-02-02,,true
